1561093157,ETH+AC0-DAI,coinbase,0.0211,281.35
1561093299,ETH+AC0-DAI,coinbase,0.0352,281.61
1561093306,ETH+AC0-DAI,uniswap,2.99885626360185,282.108473181179
1561093306,ETH+AC0-DAI,uniswap,7.10970836573651,281.3054906216
1561093433,ETH+AC0-DAI,coinbase,0.021,281.61
1561093442,ETH+AC0-DAI,uniswap,0.32680843072885,282.373586556254
1561093576,ETH+AC0-DAI,coinbase,0.9454,280.5
1561093576,ETH+AC0-DAI,coinbase,1,280.23
1561093576,ETH+AC0-DAI,coinbase,1.8032,279.95
1561093576,ETH+AC0-DAI,coinbase,1,279.94
1561093576,ETH+AC0-DAI,coinbase,1,279.75
1561093576,ETH+AC0-DAI,coinbase,1,279.38
1561093576,ETH+AC0-DAI,coinbase,5,279.35
1561093576,ETH+AC0-DAI,coinbase,0.0214,279
1561093576,ETH+AC0-DAI,coinbase,2.3748,278.75
1561093603,ETH+AC0-DAI,uniswap,0.5938,280.660989634677
1561093620,ETH+AC0-DAI,uniswap,10,279.827938804086
1561093622,ETH+AC0-DAI,coinbase,0.0211,281.26
1561093736,ETH+AC0-DAI,coinbase,0.3749,279.56
1561093738,ETH+AC0-DAI,coinbase,0.0211,281.33
1561093746,ETH+AC0-DAI,coinbase,0.1606,281.33
1561093775,ETH+AC0-DAI,uniswap,2.13380228754287,280.891917109241
1561093804,ETH+AC0-DAI,coinbase,0.0986,279.85
1561093831,ETH+AC0-DAI,coinbase,0.0211,281.33
1561093837,ETH+AC0-DAI,coinbase,0.0214,281.33
1561093886,ETH+AC0-DAI,coinbase,0.021,281.32
1561093912,ETH+AC0-DAI,coinbase,0.0211,281.32
1561093970,ETH+AC0-DAI,coinbase,0.0421,281.32
1561093976,ETH+AC0-DAI,coinbase,0.021,281.32
1561093988,ETH+AC0-DAI,oasis,0.05,282.98
1561094036,ETH+AC0-DAI,coinbase,0.35,281.34
1561094036,ETH+AC0-DAI,coinbase,0.0027,281.32
1561094072,ETH+AC0-DAI,coinbase,0.0211,281.79
1561094186,ETH+AC0-DAI,coinbase,0.0176,281.6
1561094301,ETH+AC0-DAI,coinbase,0.0211,281.71
1561094310,ETH+AC0-DAI,coinbase,0.021,281.71
1561094534,ETH+AC0-DAI,coinbase,0.011,282.5
1561094534,ETH+AC0-DAI,coinbase,0.01,281.63
1561094638,ETH+AC0-DAI,oasis,24.74699,282.98
1561094676,ETH+AC0-DAI,coinbase,0.021,282.32
1561094717,ETH+AC0-DAI,coinbase,0.0211,282.27
1561094820,ETH+AC0-DAI,coinbase,0.021,282.26
1561094832,ETH+AC0-DAI,coinbase,0.0211,282.25
1561094897,ETH+AC0-DAI,uniswap,0.003542470318386,281.061211672656
1561094978,ETH+AC0-DAI,coinbase,0.021,282.24
1561095102,ETH+AC0-DAI,coinbase,0.021,282.23
1561095146,ETH+AC0-DAI,coinbase,0.021,282.28
1561095185,ETH+AC0-DAI,coinbase,0.021,282.28
1561095225,ETH+AC0-DAI,uniswap,0.40202414352251,281.093263302723
1561095329,ETH+AC0-DAI,coinbase,0.021,282.27
1561095365,ETH+AC0-DAI,coinbase,0.1933,282.28
1561095418,ETH+AC0-DAI,coinbase,0.021,282.28
1561095457,ETH+AC0-DAI,coinbase,0.0211,282.28
1561095546,ETH+AC0-DAI,coinbase,0.0185,282
1561095577,ETH+AC0-DAI,uniswap,14.1718419913868,282.249830504113
1561095610,ETH+AC0-DAI,coinbase,0.021,282.53
1561095622,ETH+AC0-DAI,radarrelay,3.54277321456857,283.252677838202
1561095643,ETH+AC0-DAI,oasis,35.10249929795,284.88
1561095656,ETH+AC0-DAI,oasis,28.73404,284
1561095685,ETH+AC0-DAI,coinbase,0.8269,282.53
1561095708,ETH+AC0-DAI,coinbase,0.1521,282.53
